iter	Logloss
0	0.6680793093
1	0.6423963352
2	0.6191439292
3	0.5964500078
4	0.5774261849
5	0.5609416398
6	0.5465287577
7	0.5344920683
8	0.5215611953
9	0.5121623955
10	0.5032237162
11	0.4962614612
12	0.4911441004
13	0.4850004753
14	0.4791742574
15	0.4739583867
16	0.4682284089
17	0.4644512256
18	0.4602629735
19	0.4563837462
20	0.4527935038
21	0.4492787389
22	0.4460935488
23	0.4425285124
24	0.4412911442
25	0.4383154753
26	0.435748583
27	0.4336330286
28	0.431125891
29	0.4295280888
30	0.4275815063
31	0.4257071671
32	0.4238835096
33	0.422316037
34	0.4208178147
35	0.4203020145
36	0.4190815413
37	0.4180593404
38	0.4171242873
39	0.41638801
40	0.4157810739
41	0.414823189
42	0.414547187
43	0.414136209
44	0.4134566269
45	0.4134264266
46	0.4123493145
47	0.411788642
48	0.4112518559
49	0.4102103518
50	0.4097502568
51	0.4093598851
52	0.4086171303
53	0.408012746
54	0.4071992403
55	0.4067029258
56	0.4064044638
57	0.4059758021
58	0.4056330738
59	0.4051294339
60	0.4042444039
61	0.4036714028
62	0.4035475346
63	0.4031874436
64	0.4028969344
65	0.4025386273
66	0.4021633988
67	0.4019321568
68	0.4012394387
69	0.4007583999
70	0.4007209537
71	0.4007200292
72	0.4004797369
73	0.3999649077
74	0.3994629539
75	0.3993759076
76	0.3991886182
77	0.3991194618
78	0.398880771
79	0.3983782019
80	0.3983299662
81	0.397988589
82	0.3973758473
83	0.3971497172
84	0.3969571794
85	0.3963508385
86	0.3959182008
87	0.3953553227
88	0.3950290819
89	0.3946275763
90	0.3941942337
91	0.3941504462
92	0.3940144579
93	0.3937222039
94	0.3932582634
95	0.3928799002
96	0.3927157779
97	0.3927015281
98	0.3924423363
99	0.3921321229
100	0.3918644167
101	0.391864403
102	0.3918338463
103	0.3916115636
104	0.3914931742
105	0.3910998456
106	0.3908450693
107	0.3905854269
108	0.3904586954
109	0.3900563846
110	0.3897240474
111	0.3896705265
112	0.389553924
113	0.3895147273
114	0.389416652
115	0.3893148885
116	0.3890122267
117	0.3888690684
118	0.388561516
119	0.3882593555
120	0.3882500473
121	0.3880478718
122	0.3879886867
123	0.3878352421
124	0.3875245586
125	0.3872305049
126	0.3872078245
127	0.3871543076
128	0.3869852152
129	0.3869551886
130	0.3869551313
131	0.3869146238
132	0.3864949177
133	0.3864937805
134	0.3863493299
135	0.386186543
136	0.3860401752
137	0.3858012013
138	0.3854203736
139	0.3853383733
140	0.3851133511
141	0.3848853799
142	0.3847130808
143	0.3846927256
144	0.3843860135
145	0.3840587766
146	0.3839382304
147	0.3839304645
148	0.3839278755
149	0.3837179415
150	0.3836757542
151	0.3834623998
152	0.3833377824
153	0.3831314355
154	0.3829576393
155	0.3828358194
156	0.3827434326
157	0.382688447
158	0.3825379307
159	0.3824058731
160	0.3822717627
161	0.3822717498
162	0.3822409803
163	0.382014769
164	0.3818947251
165	0.3816739828
166	0.3815873705
167	0.3815873274
168	0.3813887152
169	0.3812137472
170	0.3810302783
171	0.3807691222
172	0.3807353265
173	0.3806346582
174	0.3805277094
175	0.3802839455
176	0.3802035331
177	0.379867369
178	0.3796832759
179	0.3795288243
180	0.379521465
181	0.3795167767
182	0.3793078279
183	0.3791082817
184	0.3791027535
185	0.3789681554
186	0.378857775
187	0.3787129414
188	0.378436791
189	0.3780727303
190	0.3778181086
191	0.3776005451
192	0.3773903848
193	0.3772009563
194	0.3767859856
195	0.3765544442
196	0.3762896484
197	0.37615221
198	0.3759307146
199	0.3758100967
200	0.375641948
201	0.3755035031
202	0.3754110459
203	0.375316392
204	0.3751951601
205	0.37509208
206	0.3750468413
207	0.374857574
208	0.374695283
209	0.3746489738
210	0.3745851396
211	0.3745315089
212	0.3742585487
213	0.3740865621
214	0.3739506098
215	0.3737681616
216	0.3732991349
217	0.3731948989
218	0.3730137772
219	0.3728662588
220	0.3727859939
221	0.3723327274
222	0.372122761
223	0.3718205944
224	0.371489934
225	0.3713427712
226	0.3712953419
227	0.3711528672
228	0.371004466
229	0.3706446825
230	0.3705128185
231	0.3703614336
232	0.3701133744
233	0.3700114008
234	0.3699326093
235	0.3695295735
236	0.3694864079
237	0.3691617687
238	0.3690905356
239	0.3688238202
240	0.3686729171
241	0.3684517162
242	0.368443102
243	0.3682828169
244	0.3676767753
245	0.3676123514
246	0.3672386555
247	0.3669660052
248	0.3667845598
249	0.3667468036
250	0.3665025909
251	0.3664303989
252	0.3661765263
253	0.366012813
254	0.3659486237
255	0.3657302553
256	0.3656000715
257	0.3653025972
258	0.3651946553
259	0.3647900882
260	0.3646553972
261	0.3644841881
262	0.3643188888
263	0.3639523875
264	0.3636876463
265	0.3635438559
266	0.363368713
267	0.3631978705
268	0.3630357617
269	0.3628286225
270	0.3624450807
271	0.3622502324
272	0.3619896721
273	0.3617309669
274	0.3616276788
275	0.3612596998
276	0.3610374013
277	0.3609553257
278	0.3607809976
279	0.3603788326
280	0.3600815959
281	0.3595798259
282	0.3594999803
283	0.3593738131
284	0.3592290703
285	0.359125603
286	0.3586847168
287	0.3584973865
288	0.3584322193
289	0.3579323303
290	0.3577311194
291	0.3574962329
292	0.3574250581
293	0.3573456892
294	0.35717831
295	0.3568093583
296	0.3567120842
297	0.3565935468
298	0.3564901906
299	0.3559568691
300	0.3558649387
301	0.3557867407
302	0.3554157289
303	0.3553006619
304	0.3547802267
305	0.3545615047
306	0.3544543793
307	0.3541585854
308	0.3537028985
309	0.3535245644
310	0.3531843297
311	0.3529824213
312	0.3529291923
313	0.3529069662
314	0.3528009482
315	0.3526579291
316	0.3523822493
317	0.3522831478
318	0.3520821226
319	0.3520207724
320	0.3517515294
321	0.3515630136
322	0.3514006341
323	0.3511414151
324	0.3509028608
325	0.3508474151
326	0.3504259218
327	0.3502485989
328	0.349842474
329	0.3496822012
330	0.3496407765
331	0.3494431217
332	0.3492928916
333	0.3491315175
334	0.3490812628
335	0.3489924152
336	0.3487353201
337	0.3486678875
338	0.3485928658
339	0.3481371493
340	0.3479518118
341	0.3476443273
342	0.3475048224
343	0.3472811051
344	0.3470780275
345	0.3469085409
346	0.3467348811
347	0.346614971
348	0.3465345466
349	0.3462337722
350	0.3461617375
351	0.3460575791
352	0.3458346316
353	0.3456691115
354	0.34547251
355	0.345386368
356	0.3453026645
357	0.3450007985
358	0.3447064885
359	0.3446655879
360	0.3446328052
361	0.3444598852
362	0.3440894667
363	0.3437021306
364	0.3436381089
365	0.3432303531
366	0.3431945883
367	0.3430941167
368	0.342930837
369	0.3428789489
370	0.3427900222
371	0.3427017943
372	0.3426402283
373	0.3424073381
374	0.342292714
375	0.3421784187
376	0.3421251462
377	0.3416481027
378	0.3415404048
379	0.3410846991
380	0.3410361467
381	0.3406676435
382	0.3404111729
383	0.3401356655
384	0.3400141967
385	0.3396077969
386	0.3395456401
387	0.3394483317
388	0.3391607888
389	0.3388222833
390	0.3387459077
391	0.3384699124
392	0.3382738583
393	0.3381158414
394	0.3377997521
395	0.3377490554
396	0.3374962239
397	0.3373949523
398	0.3372076371
399	0.3370816405
400	0.3367489949
401	0.3364397193
402	0.3361664198
403	0.3361191663
404	0.3357073221
405	0.3355434961
406	0.3353081554
407	0.3351771939
408	0.3348058689
409	0.334624879
410	0.334559691
411	0.3343935904
412	0.3343567623
413	0.3340848146
414	0.3339481425
415	0.3338915476
416	0.333850576
417	0.3335903949
418	0.3335505844
419	0.3335161086
420	0.3332365647
421	0.3332363556
422	0.3329464974
423	0.3327755197
424	0.3325413853
425	0.3324737153
426	0.3324313877
427	0.3320372528
428	0.3318734824
429	0.3318252537
430	0.3317402745
431	0.3316391353
432	0.3315718689
433	0.3312045188
434	0.3311610962
435	0.3311265891
436	0.3310985359
437	0.3309702173
438	0.3309206598
439	0.3308641252
440	0.3305470638
441	0.3302362997
442	0.3301178935
443	0.3300553468
444	0.3298986597
445	0.3295664562
446	0.3292551855
447	0.3292050772
448	0.3287711348
449	0.3283429095
450	0.3281583466
451	0.3281053752
452	0.3278438778
453	0.3275771068
454	0.3274927599
455	0.3271672982
456	0.3269655121
457	0.3266884448
458	0.3263990876
459	0.3263197708
460	0.3261280905
461	0.3259868078
462	0.3259077181
463	0.3256539399
464	0.3256199256
465	0.3254139384
466	0.3252551261
467	0.325156466
468	0.3250181342
469	0.3248524761
470	0.3248060557
471	0.3245301114
472	0.324273978
473	0.3241466421
474	0.3239703789
475	0.3237311426
476	0.3235274962
477	0.3234230539
478	0.3233541817
479	0.3232471734
480	0.3231942559
481	0.3230986543
482	0.3229327147
483	0.3228604774
484	0.3226136931
485	0.3224885171
486	0.3223946446
487	0.3223658469
488	0.322220241
489	0.32214635
490	0.3220056534
491	0.3219144883
492	0.3218006437
493	0.321466622
494	0.3213412413
495	0.3212966227
496	0.3212414454
497	0.3211374053
498	0.3209421055
499	0.3209010623
500	0.3208164231
501	0.3207448011
502	0.3206039186
503	0.3205215969
504	0.3201524888
505	0.3201126061
506	0.3199148035
507	0.3199005261
508	0.3197649076
509	0.319579013
510	0.319363257
511	0.3190183718
512	0.3189756463
513	0.3187490876
514	0.3186412089
515	0.3184531284
516	0.3184135259
517	0.3182002601
518	0.3179842442
519	0.3178978686
520	0.3178103884
521	0.3176643064
522	0.3176247559
523	0.3173964647
524	0.3172697892
525	0.3171334876
526	0.3167951535
527	0.3167683991
528	0.3167249576
529	0.3165301962
530	0.316256936
531	0.3161043113
532	0.3160081108
533	0.3158809931
534	0.3158318903
535	0.315735512
536	0.3154579226
537	0.3151440385
538	0.3148899387
539	0.3147378113
540	0.3145606006
541	0.314485867
542	0.3143848869
543	0.3143441555
544	0.3140301753
545	0.3139074807
546	0.3138138418
547	0.3134748612
548	0.3131502537
549	0.3129884184
550	0.3129087203
551	0.3128391572
552	0.3127214713
553	0.3126454414
554	0.3125629518
555	0.3124009848
556	0.3123012135
557	0.312014933
558	0.3118415084
559	0.3117580251
560	0.3116277048
561	0.3115956801
562	0.3114831099
563	0.3114500189
564	0.3112797185
565	0.3112266727
566	0.311143125
567	0.3108657454
568	0.3108275981
569	0.310736312
570	0.3106804704
571	0.310658794
572	0.3106326881
573	0.3103577383
574	0.3101776365
575	0.310040354
576	0.3100256404
577	0.3098044514
578	0.3095531923
579	0.3093823401
580	0.3093296338
581	0.3092705148
582	0.3090861814
583	0.3088117182
584	0.3086419271
585	0.3085151542
586	0.3084701338
587	0.3083128766
588	0.3081909134
589	0.3081678324
590	0.3080536282
591	0.3079958006
592	0.3078852984
593	0.3076576038
594	0.3073678924
595	0.3071636571
596	0.3069774007
597	0.306866788
598	0.3067318353
599	0.3066427506
600	0.3065279619
601	0.3061902251
602	0.3060337969
603	0.3058858626
604	0.3057437357
605	0.3056041944
606	0.305462436
607	0.3053281461
608	0.3051896989
609	0.3049449016
610	0.3046961047
611	0.3046609472
612	0.3044579492
613	0.3043716483
614	0.304128741
615	0.3038862102
616	0.3035450574
617	0.3034633383
618	0.3032984826
619	0.303057215
620	0.3029525805
621	0.3028198299
622	0.3026508796
623	0.3024653346
624	0.3023840683
625	0.3023451011
626	0.3021180082
627	0.3020531065
628	0.3018918911
629	0.3018532172
630	0.3018062154
631	0.3017485606
632	0.3015080815
633	0.301444025
634	0.301203641
635	0.3010612762
636	0.3009208486
637	0.3007329775
638	0.3006276188
639	0.3004226767
640	0.3002662921
641	0.3000640042
642	0.2999790828
643	0.299901466
644	0.2998289058
645	0.2995775702
646	0.2995339615
647	0.2991851973
648	0.2990471377
649	0.2989573351
650	0.2988906234
651	0.2988007327
652	0.2987189366
653	0.298590138
654	0.2982362457
655	0.2980102801
656	0.2977653499
657	0.2977282902
658	0.2976602189
659	0.2974919917
660	0.2973248567
661	0.2971265025
662	0.296844734
663	0.2966087022
664	0.2963670517
665	0.2961204673
666	0.2959181345
667	0.295850735
668	0.295593106
669	0.2953453887
670	0.2952321114
671	0.2951163856
672	0.2950091745
673	0.294743212
674	0.2946865334
675	0.2945931634
676	0.2943438716
677	0.2941927355
678	0.2941001378
679	0.2939321169
680	0.2939158397
681	0.2938235564
682	0.2936218896
683	0.2935571095
684	0.2932453384
685	0.2931375306
686	0.2929897505
687	0.2929226947
688	0.2928999811
689	0.2926363261
690	0.2924851347
691	0.2924200554
692	0.2919617373
693	0.2919010379
694	0.2917181853
695	0.2916357583
696	0.2915102912
697	0.2913543665
698	0.2911969211
699	0.2910569902
700	0.2909738608
701	0.2909290613
702	0.2908892167
703	0.2907337721
704	0.2906731739
705	0.2906566509
706	0.2905992051
707	0.2903850318
708	0.2902960968
709	0.2901325208
710	0.2899953153
711	0.2898558631
712	0.289801301
713	0.2897723994
714	0.2897271205
715	0.2895221774
716	0.2894318382
717	0.2893787302
718	0.2893156626
719	0.2891646156
720	0.2890643859
721	0.2890069209
722	0.2888148986
723	0.2886048156
724	0.2885465753
725	0.2883859619
726	0.2883297055
727	0.288305411
728	0.2880928993
729	0.2880394754
730	0.2879393113
731	0.2877676853
732	0.28756691
733	0.2873790704
734	0.2872459625
735	0.287200217
736	0.2871042264
737	0.28705104
738	0.2869278368
739	0.2866803175
740	0.2865049665
741	0.2864469599
742	0.2863605406
743	0.2862898579
744	0.2860993659
745	0.2859797403
746	0.2858648581
747	0.2858119392
748	0.285769671
749	0.2856622849
750	0.2855749799
751	0.2854000947
752	0.2852168153
753	0.2850963778
754	0.2848719925
755	0.2845744952
756	0.2843327099
757	0.2842229671
758	0.2841481184
759	0.2840217996
760	0.2838164964
761	0.2837347269
762	0.28367376
763	0.2835106035
764	0.2834249313
765	0.2833854001
766	0.28311914
767	0.2829492102
768	0.2827842342
769	0.2826979074
770	0.2826225192
771	0.2825825081
772	0.2824534921
773	0.2823072276
774	0.2821300905
775	0.2820005997
776	0.2818745041
777	0.2816621704
778	0.2815102657
779	0.2814394149
780	0.2811719941
781	0.2811150013
782	0.2809250423
783	0.2807935327
784	0.2806739222
785	0.2805682663
786	0.2803313106
787	0.2802650434
788	0.2802131629
789	0.280126924
790	0.2800172787
791	0.2799016557
792	0.2796319823
793	0.2794864161
794	0.2794530455
795	0.2793975412
796	0.2793385947
797	0.2791954866
798	0.2791579703
799	0.279126854
800	0.2789899189
801	0.2789291465
802	0.2788021308
803	0.278743911
804	0.278660594
805	0.2786042388
806	0.2784884489
807	0.2783976305
808	0.2783445845
809	0.2782210097
810	0.278091526
811	0.2780415922
812	0.2780279441
813	0.277919162
814	0.2778875547
815	0.2777975439
816	0.2777156182
817	0.2775844223
818	0.2775269782
819	0.2773418052
820	0.2772155742
821	0.2770815963
822	0.2769467219
823	0.276713058
824	0.276473201
825	0.2764134371
826	0.2763267495
827	0.2761538507
828	0.2760254084
829	0.2758752408
830	0.2758442163
831	0.2758188352
832	0.2757040966
833	0.2755539356
834	0.2754181924
835	0.2752754109
836	0.2752480657
837	0.2749971953
838	0.2749205242
839	0.2747039898
840	0.2745894802
841	0.274491437
842	0.2743000617
843	0.2742868295
844	0.274080426
845	0.2740376209
846	0.2738935563
847	0.2738317649
848	0.2736222495
849	0.2734869966
850	0.2734430686
851	0.2730903907
852	0.272988851
853	0.2729635695
854	0.27282062
855	0.2727524418
856	0.2726152106
857	0.2725641645
858	0.2722735292
859	0.2721513042
860	0.272111368
861	0.2719873203
862	0.2719371875
863	0.2718364725
864	0.2716585939
865	0.2715473179
866	0.2714436622
867	0.2713712879
868	0.271208246
869	0.2710077198
870	0.2709825298
871	0.2708985189
872	0.2707293635
873	0.2705473423
874	0.2703725256
875	0.2703235698
876	0.2700871912
877	0.2699485371
878	0.2697983266
879	0.2696224497
880	0.2694377084
881	0.2693202169
882	0.2691179772
883	0.2689914991
884	0.2687839291
885	0.2686622
886	0.2683938349
887	0.2682516257
888	0.2682129478
889	0.2681034056
890	0.26800726
891	0.2679692798
892	0.2676771163
893	0.2674472346
894	0.2673102022
895	0.2671529123
896	0.2671370523
897	0.2669204896
898	0.2668246863
899	0.266542803
900	0.2664547734
901	0.266293094
902	0.2662832519
903	0.2661974782
904	0.2660786922
905	0.2660485983
906	0.2659754072
907	0.2658962921
908	0.2657440001
909	0.2654661785
910	0.2652404278
911	0.2651605324
912	0.2650322794
913	0.2647284987
914	0.2647152882
915	0.2646234219
916	0.2642905632
917	0.2640921504
918	0.2640120436
919	0.2639706105
920	0.2639408167
921	0.2638808708
922	0.2637114962
923	0.2636607387
924	0.2636166977
925	0.2635014008
926	0.263364017
927	0.2632437395
928	0.2630509722
929	0.2629008442
930	0.2628576272
931	0.262662595
932	0.2626107871
933	0.2625464045
934	0.2624694676
935	0.2623854833
936	0.2623317085
937	0.2621458694
938	0.2618954268
939	0.2617009953
940	0.2615774393
941	0.2615245686
942	0.2613990386
943	0.2613597849
944	0.261351572
945	0.2610028162
946	0.2607401814
947	0.2606320226
948	0.26058206
949	0.2605278853
950	0.260418683
951	0.2603746902
952	0.2601794502
953	0.260097844
954	0.2599137753
955	0.2598298125
956	0.2597196044
957	0.2595365815
958	0.2595073871
959	0.2593556567
960	0.2591880447
961	0.2590454538
962	0.2590226813
963	0.2589826127
964	0.2588703645
965	0.2586869272
966	0.2585682727
