iter	Logloss
0	0.6695746392
1	0.6485677319
2	0.6309837548
3	0.611579073
4	0.597024644
5	0.5842114298
6	0.5702015539
7	0.5585692587
8	0.5467676902
9	0.5347689911
10	0.5246877046
11	0.5161338589
12	0.5072515563
13	0.500683405
14	0.4959981717
15	0.4879150196
16	0.482915632
17	0.4784870708
18	0.4732029634
19	0.4698323193
20	0.4661925616
21	0.4623862202
22	0.4585863625
23	0.4558677621
24	0.4528349646
25	0.4497013947
26	0.4470588857
27	0.4455384363
28	0.4438710995
29	0.4417363828
30	0.4396648108
31	0.4381326663
32	0.4364561513
33	0.4350452978
34	0.4335377237
35	0.4317799028
36	0.4305144537
37	0.4286124717
38	0.4262333075
39	0.4249965865
40	0.4235199
41	0.422302781
42	0.4212917851
43	0.4199844005
44	0.4187133399
45	0.4181770981
46	0.4173305649
47	0.4160970418
48	0.4149607742
49	0.4146166472
50	0.4134553592
51	0.4124917977
52	0.4115535772
53	0.4109906966
54	0.4101491773
55	0.4094873401
56	0.4090428312
57	0.4085017463
58	0.4080680318
59	0.4075427204
60	0.4064708153
61	0.4061473101
62	0.4058522969
63	0.4054714492
64	0.4050391685
65	0.4045625412
66	0.4037503408
67	0.4034020599
68	0.4025867946
69	0.4024958923
70	0.4019488607
71	0.4012028199
72	0.4008629624
73	0.4005003524
74	0.4001305743
75	0.3999252789
76	0.3998724385
77	0.3995649758
78	0.3994913636
79	0.3994520638
80	0.3989666038
81	0.3984882443
82	0.3981732596
83	0.3977500989
84	0.3976270059
85	0.397507641
86	0.3971207917
87	0.3966935306
88	0.3964294441
89	0.3957899274
90	0.3951730331
91	0.3943097821
92	0.3943078241
93	0.3939152951
94	0.3936953456
95	0.3930601715
96	0.3925965214
97	0.3921240112
98	0.3913493766
99	0.390651063
100	0.3903400666
101	0.3899716808
102	0.3897914637
103	0.3893510279
104	0.3890353038
105	0.3888084883
106	0.3883002988
107	0.3882358013
108	0.3882267123
109	0.3882240462
110	0.388151516
111	0.3880802454
112	0.3879224583
113	0.38759328
114	0.3875064349
115	0.3869925245
116	0.3865798849
117	0.3864594033
118	0.3858797215
119	0.3858797204
120	0.3853015468
121	0.3849380116
122	0.3849104502
123	0.3846727247
124	0.3841987304
125	0.38416077
126	0.3838655815
127	0.383720378
128	0.3836508879
129	0.38342824
130	0.3832879173
131	0.3830755091
132	0.3828481093
133	0.3828481058
134	0.3824033629
135	0.3823802874
136	0.3820105083
137	0.3816992764
138	0.381699214
139	0.3810697072
140	0.3808235591
141	0.3805112886
142	0.3802634499
143	0.3800675093
144	0.3798837279
145	0.3796899255
146	0.3796264902
147	0.3792838946
148	0.3789309554
149	0.3785807569
150	0.378372871
151	0.378207306
152	0.3778349407
153	0.3775133158
154	0.377168245
155	0.3770475275
156	0.3770474817
157	0.3768674136
158	0.3766769772
159	0.376472543
160	0.37614347
161	0.3761009496
162	0.3758097863
163	0.375809368
164	0.3758083473
165	0.3752845653
166	0.3751355815
167	0.3746960426
168	0.3739758079
169	0.3738113547
170	0.3737657995
171	0.3735138974
172	0.3734675214
173	0.3731305227
174	0.3727534352
175	0.3726201294
176	0.3725383961
177	0.3717953804
178	0.3715342191
179	0.3712699198
180	0.3708566148
181	0.3708564119
182	0.3705834592
183	0.3700762991
184	0.3700759991
185	0.36999282
186	0.3699468389
187	0.3699460332
188	0.3697305596
189	0.3694450264
190	0.3690855906
191	0.3689312595
192	0.3685199418
193	0.3684888035
194	0.3684838563
195	0.3683110778
196	0.3678875051
197	0.3673561058
198	0.3672279828
199	0.3670712566
200	0.3669749525
201	0.3666350171
202	0.366628966
203	0.3661218889
204	0.3659474944
205	0.3659474409
206	0.3657161421
207	0.3655349404
208	0.3653579047
209	0.3652765371
210	0.3650997347
211	0.3646560157
212	0.3644468566
213	0.3641996906
214	0.3638386491
215	0.3636106424
216	0.3631294544
217	0.3626760861
218	0.3621991325
219	0.3618666785
220	0.3614504228
221	0.3611376975
222	0.3608967945
223	0.3605543345
224	0.3596266874
225	0.3596133618
226	0.3594700004
227	0.3591713791
228	0.3585401733
229	0.3584285857
230	0.358243647
231	0.3580278459
232	0.3576246765
233	0.357419148
234	0.3573644717
235	0.3571004935
236	0.3569308187
237	0.3567171477
238	0.3563937353
239	0.3561138057
240	0.3555106651
241	0.3554098707
242	0.3546384986
243	0.3545000699
244	0.3544908365
245	0.3540053881
246	0.3535666842
247	0.3534082484
248	0.3530783272
249	0.3529781802
250	0.3527352436
251	0.3524376869
