iter	Passed	Remaining
144	9843	58044
145	9900	57908
146	9965	57826
147	10019	57677
148	10089	57626
149	10162	57584
150	10234	57543
151	10299	57458
152	10360	57356
153	10429	57295
154	10496	57221
155	10571	57196
156	10647	57171
157	10713	57093
158	10782	57033
159	10846	56945
160	10901	56811
161	10981	56804
162	11039	56687
163	11103	56602
164	11172	56539
165	11236	56451
166	11313	56432
167	11394	56430
168	11468	56393
169	11539	56341
170	11618	56326
171	11689	56272
172	11749	56168
173	11811	56072
174	11880	56008
175	11949	55945
176	12014	55865
177	12082	55796
178	12157	55760
179	12221	55675
180	12297	55643
181	12372	55608
182	12447	55569
183	12513	55496
184	12566	55359
185	12633	55289
186	12699	55211
187	12771	55161
188	12839	55095
189	12898	54987
190	12965	54916
191	13026	54821
192	13097	54767
193	13153	54649
194	13207	54524
195	13288	54511
196	13373	54512
197	13444	54458
198	13521	54424
199	13590	54361
200	13663	54315
201	13725	54223
202	13789	54139
203	13861	54086
204	13932	54029
205	14008	53993
206	14079	53937
207	14144	53856
208	14220	53819
209	14307	53821
210	14385	53791
211	14455	53729
212	14509	53609
213	14583	53564
214	14641	53459
215	14724	53445
216	14800	53403
217	14856	53293
218	14924	53222
219	14994	53161
220	15064	53101
221	15126	53011
222	15192	52936
223	15275	52919
224	15342	52845
225	15410	52778
226	15480	52713
227	15555	52671
228	15620	52590
229	15699	52558
230	15771	52502
231	15842	52445
232	15898	52335
233	15968	52272
234	16044	52229
235	16107	52145
236	16174	52072
237	16260	52059
238	16340	52030
239	16416	51986
240	16474	51883
241	16538	51801
242	16609	51742
243	16684	51693
244	16753	51626
245	16818	51550
246	16875	51447
247	16931	51340
248	17001	51276
249	17078	51235
250	17147	51169
251	17208	51080
252	17285	51036
253	17346	50945
254	17414	50878
255	17478	50797
256	17547	50731
257	17617	50667
258	17687	50604
259	17752	50526
260	17831	50488
261	17900	50420
262	17968	50351
263	18040	50295
264	18110	50232
265	18183	50176
266	18252	50109
267	18318	50034
268	18388	49970
269	18466	49928
270	18535	49860
271	18615	49823
272	18682	49752
273	18757	49700
274	18829	49641
275	18897	49571
276	18959	49487
277	19025	49411
278	19096	49348
279	19166	49285
280	19243	49238
281	19305	49152
282	19371	49079
283	19445	49024
284	19512	48952
285	19579	48881
286	19652	48824
287	19717	48745
288	19774	48649
289	19846	48589
290	19916	48524
291	19990	48470
292	20059	48402
293	20132	48344
294	20197	48267
295	20270	48211
296	20357	48186
297	20429	48126
298	20499	48060
299	20568	47992
300	20636	47923
301	20696	47834
302	20759	47754
303	20830	47689
304	20889	47601
305	20962	47543
306	21031	47474
307	21092	47389
308	21157	47314
309	21226	47245
310	21286	47159
311	21375	47136
312	21448	47077
313	21511	46997
314	21576	46920
315	21653	46870
316	21724	46807
317	21796	46745
318	21860	46668
319	21922	46584
320	21996	46528
321	22055	46439
322	22123	46369
323	22209	46339
324	22287	46289
325	22364	46238
326	22444	46192
327	22510	46119
328	22587	46068
329	22662	46010
330	22729	45939
331	22785	45846
332	22839	45748
333	22908	45680
334	22968	45594
335	23034	45519
336	23094	45435
337	23172	45386
338	23249	45333
339	23331	45290
340	23400	45223
341	23481	45176
342	23552	45113
343	23617	45038
344	23674	44947
345	23741	44874
346	23805	44798
347	23862	44708
348	23917	44614
349	23970	44516
350	24029	44429
351	24092	44351
352	24164	44289
353	24228	44213
354	24299	44150
355	24365	44077
356	24433	44008
357	24507	43949
358	24567	43866
359	24640	43805
360	24709	43737
361	24763	43643
362	24832	43577
363	24885	43481
364	24948	43403
365	25005	43316
366	25059	43222
367	25113	43130
368	25185	43067
369	25243	42982
370	25320	42928
371	25398	42876
372	25457	42793
373	25523	42721
374	25582	42637
375	25656	42578
376	25723	42507
377	25782	42424
378	25843	42345
379	25907	42269
380	25969	42191
381	26028	42108
382	26103	42051
383	26163	41970
384	26228	41897
385	26296	41829
386	26361	41756
387	26426	41682
388	26491	41610
389	26563	41547
390	26630	41478
391	26689	41395
392	26765	41340
393	26831	41269
394	26902	41204
395	26961	41122
396	27036	41065
397	27103	40996
398	27168	40922
399	27247	40870
400	27324	40816
401	27396	40753
402	27463	40684
403	27527	40609
404	27588	40531
405	27649	40452
406	27720	40388
407	27777	40304
408	27843	40234
409	27895	40142
410	27971	40085
411	28031	40005
412	28086	39920
413	28142	39834
414	28208	39763
415	28278	39698
416	28355	39643
417	28418	39568
418	28490	39505
419	28561	39442
420	28616	39356
421	28688	39293
422	28757	39226
423	28824	39157
424	28887	39083
425	28960	39022
426	29020	38942
427	29080	38864
428	29147	38795
429	29222	38736
430	29297	38678
431	29366	38611
432	29435	38545
433	29525	38505
434	29604	38451
435	29663	38372
436	29734	38308
437	29792	38226
438	29853	38149
439	29921	38082
440	29988	38013
441	30057	37945
442	30127	37880
443	30199	37817
444	30267	37748
445	30333	37679
446	30406	37617
447	30482	37558
448	30554	37496
449	30626	37431
450	30689	37358
451	30749	37280
452	30819	37214
453	30881	37139
454	30949	37070
455	31008	36992
456	31083	36933
457	31151	36864
458	31212	36789
459	31292	36735
460	31369	36676
461	31438	36610
462	31514	36550
463	31567	36465
464	31625	36386
465	31690	36315
466	31758	36246
467	31832	36185
468	31890	36105
469	31959	36039
470	32034	35979
471	32105	35914
472	32169	35842
473	32240	35777
474	32302	35703
475	32372	35636
476	32448	35577
477	32523	35517
478	32583	35441
479	32648	35368
480	32723	35308
481	32798	35248
482	32868	35182
483	32934	35111
484	32999	35040
485	33073	34978
486	33140	34910
487	33207	34840
488	33268	34765
489	33336	34696
490	33398	34623
491	33450	34538
492	33513	34465
493	33584	34400
494	33633	34312
495	33694	34237
496	33765	34173
497	33841	34113
498	33906	34042
499	33969	33969
500	34043	33907
501	34108	33836
502	34169	33762
503	34241	33698
504	34314	33635
505	34398	33582
506	34461	33509
507	34527	33439
508	34590	33366
509	34653	33294
510	34720	33225
511	34781	33151
512	34854	33088
513	34918	33016
514	34988	32950
515	35058	32884
516	35125	32815
517	35194	32748
518	35274	32691
519	35350	32631
520	35420	32565
521	35487	32496
522	35557	32429
523	35608	32346
524	35673	32276
525	35731	32199
526	35803	32134
527	35856	32053
528	35921	31982
529	35982	31909
