iter	RMSE
314	1.45374055
315	1.453328382
316	1.453046066
317	1.452555335
318	1.452414579
319	1.452263496
320	1.451942134
321	1.45126706
322	1.450466734
323	1.450371943
324	1.450231046
325	1.449719087
326	1.449405211
327	1.448791739
328	1.448635829
329	1.448127178
330	1.447680206
331	1.447192244
332	1.446801986
333	1.446447584
334	1.445936134
335	1.44515213
336	1.444756358
337	1.444435097
338	1.443740865
339	1.443205873
340	1.442951758
341	1.442779191
342	1.442097243
343	1.441774992
344	1.441264194
345	1.441000501
346	1.440709805
347	1.440557892
348	1.43994447
349	1.439837652
350	1.439509308
351	1.43892602
352	1.438149091
353	1.438084609
354	1.437704194
355	1.437417692
356	1.437217323
357	1.437199488
358	1.437067387
359	1.436721673
360	1.436319152
361	1.43581772
362	1.435641123
363	1.435334128
364	1.435145361
365	1.434950594
366	1.434854639
367	1.434781389
368	1.434640771
369	1.434552493
370	1.434489838
371	1.434385235
372	1.434133655
373	1.433862541
374	1.433424841
375	1.43338435
376	1.43324046
377	1.432712872
378	1.432394647
379	1.43185165
380	1.431686846
381	1.431537008
382	1.431419531
383	1.431255397
384	1.431119159
385	1.430919522
386	1.430809065
387	1.430712366
388	1.430444746
389	1.430242313
390	1.430062458
391	1.429866479
392	1.429705898
393	1.429178799
394	1.428659989
395	1.428397299
396	1.428255799
397	1.428106512
398	1.427589188
399	1.427249561
400	1.426835473
401	1.426715055
402	1.426111689
403	1.425959467
404	1.425518736
405	1.425117603
406	1.424918149
407	1.424826845
408	1.42432747
409	1.424202058
410	1.423853382
411	1.423687077
412	1.423525175
413	1.423405092
414	1.423082547
415	1.422605388
416	1.422376174
417	1.422314058
418	1.422061759
419	1.421647321
420	1.421595447
421	1.421459707
422	1.421311593
423	1.420826133
424	1.420489271
425	1.420177113
426	1.420125118
427	1.419633448
428	1.419524981
429	1.419329608
430	1.418940702
431	1.418904431
432	1.418704797
433	1.418276664
434	1.418032886
435	1.417461536
436	1.417171527
437	1.416964567
438	1.416746239
439	1.416574522
440	1.416540989
441	1.416372594
442	1.416186138
443	1.41592435
444	1.41568408
445	1.415599792
446	1.415343548
447	1.414927567
448	1.414865425
449	1.414706256
450	1.414524655
451	1.414076012
452	1.413951675
453	1.413784153
454	1.41363168
455	1.413464189
456	1.413345201
457	1.413321012
458	1.413135496
459	1.413084823
460	1.412507428
461	1.412047575
462	1.411870548
463	1.411833747
464	1.411795523
465	1.411594803
466	1.411448638
467	1.411429824
468	1.411360092
469	1.411191544
470	1.411157226
471	1.411148383
472	1.410881967
473	1.410554425
474	1.410215355
475	1.409624555
476	1.409192993
477	1.408954142
478	1.408781666
479	1.408609301
480	1.408544358
481	1.408433446
482	1.408193798
483	1.407720195
484	1.407666356
485	1.407564226
486	1.407443941
487	1.407369485
488	1.407305087
489	1.407173021
490	1.407151393
491	1.407095223
492	1.407030937
493	1.40692495
494	1.406906388
495	1.406811907
496	1.406508062
497	1.406093568
498	1.405925296
499	1.405670405
500	1.405283373
501	1.405039169
502	1.404878473
503	1.404756347
504	1.404701346
505	1.404383106
506	1.403959353
507	1.403687604
508	1.40349187
509	1.403405699
510	1.403112412
511	1.40298894
512	1.402657928
513	1.402568977
514	1.402261333
515	1.402207831
516	1.401724622
517	1.401439284
518	1.401202357
519	1.400926778
520	1.400856988
521	1.400408741
522	1.400301355
523	1.400241273
524	1.400080304
525	1.399570054
526	1.399332786
527	1.399197991
528	1.399128206
529	1.398777731
530	1.398711685
531	1.398484972
532	1.398397691
533	1.397849484
534	1.397485146
535	1.397319664
536	1.397100057
537	1.396490076
538	1.396376717
539	1.395939323
540	1.395878358
541	1.395861005
542	1.395583181
543	1.395498384
544	1.395411488
545	1.395034847
546	1.394664137
547	1.394365056
548	1.394284094
549	1.394070528
550	1.393749295
551	1.393282618
552	1.393161314
553	1.393118173
554	1.392935948
555	1.392654191
556	1.392606318
557	1.392475309
558	1.392469952
559	1.392423575
560	1.392120485
561	1.392087769
562	1.391917695
563	1.391712594
564	1.391524225
565	1.391356981
566	1.391209051
567	1.391089602
568	1.390988056
569	1.390722216
570	1.390430934
571	1.390377833
572	1.389879566
573	1.38967071
574	1.389456168
575	1.389304985
576	1.388963209
577	1.388680383
578	1.388645082
579	1.388486831
580	1.388225201
581	1.388101636
582	1.38768694
583	1.387462478
584	1.387373964
585	1.387308083
586	1.387030909
587	1.386940329
588	1.38676215
589	1.386682468
590	1.386429199
591	1.386393965
592	1.386292903
593	1.386286537
594	1.386267914
595	1.386101732
596	1.38599303
597	1.385807301
598	1.385594243
599	1.385402901
600	1.385306178
601	1.385004949
602	1.384919266
603	1.38479363
604	1.384547037
605	1.384380258
606	1.384174849
607	1.384042785
608	1.383992854
609	1.383875358
610	1.383684218
611	1.383542181
612	1.383338864
613	1.383126991
614	1.382868222
615	1.382664036
616	1.382645793
617	1.382320663
618	1.382111903
619	1.381741991
620	1.381724781
621	1.381694959
622	1.38140732
623	1.381390385
624	1.381041784
625	1.380891879
626	1.380593596
627	1.380454497
628	1.380367297
629	1.380304704
630	1.380241064
631	1.3802205
632	1.380177383
633	1.380034827
634	1.38002916
635	1.379972955
636	1.379656348
637	1.379381025
638	1.379045924
639	1.378851751
640	1.378733852
641	1.378417239
642	1.378395462
643	1.378391
644	1.37833272
645	1.378171498
646	1.377855161
647	1.377618362
648	1.377276765
649	1.376815629
650	1.376732133
651	1.37642814
652	1.376380958
653	1.376294254
654	1.376203301
655	1.375827367
656	1.375568151
657	1.375170272
658	1.374964382
659	1.374925473
660	1.374753692
661	1.374477147
662	1.374197725
663	1.373716359
664	1.373575544
665	1.373516308
666	1.373120914
667	1.372716056
668	1.372384282
669	1.372337172
670	1.371906012
671	1.371902096
672	1.371766652
673	1.371560105
674	1.371432291
675	1.370995087
676	1.370921584
677	1.370727341
678	1.370516466
679	1.370409338
680	1.370096942
681	1.36984139
682	1.369626724
683	1.369566571
684	1.369080337
685	1.368874605
686	1.36827299
687	1.368095685
688	1.367932846
689	1.36772941
690	1.367612626
691	1.367526627
692	1.367523697
693	1.367506797
694	1.367313325
695	1.367236114
696	1.366906465
697	1.36650442
698	1.366207741
699	1.366148715
700	1.366040229
701	1.36599709
702	1.365902294
703	1.365658112
704	1.36546838
705	1.365309333
706	1.365304638
707	1.365177551
708	1.365049841
709	1.36487613
710	1.364507024
711	1.364373984
712	1.364117658
713	1.364077155
714	1.363779392
715	1.363636032
716	1.363375007
717	1.363261423
718	1.362829718
719	1.362768578
720	1.362615109
721	1.362528424
722	1.362410938
723	1.362351701
724	1.362082122
725	1.361810973
726	1.361738329
727	1.361675437
728	1.361387186
729	1.360827535
730	1.360735664
731	1.360599539
732	1.3603995
733	1.360349466
734	1.360196537
735	1.360080851
736	1.360046931
737	1.360021254
738	1.359692538
739	1.359395778
740	1.359274499
741	1.359142204
742	1.358966211
743	1.358582355
744	1.358485691
745	1.35832574
746	1.358130499
747	1.358112803
748	1.358035027
749	1.357557042
750	1.357255376
751	1.35722855
752	1.357138401
753	1.35711731
754	1.356988832
755	1.356987175
756	1.356950319
757	1.356720413
758	1.356423033
759	1.35631368
760	1.35615652
761	1.35604797
762	1.355861382
763	1.355829757
764	1.3553977
765	1.355285012
766	1.355264652
767	1.355164131
768	1.355107144
769	1.354952274
770	1.354609256
771	1.354456785
772	1.354124339
773	1.353659884
774	1.353611224
775	1.353522416
776	1.353091726
777	1.352994717
778	1.35250685
779	1.352414885
780	1.352051321
781	1.351808171
782	1.351638798
783	1.351448628
784	1.351223091
785	1.351107922
786	1.350997816
787	1.350811853
788	1.350522546
789	1.350519643
790	1.350018263
791	1.349646801
792	1.349465075
793	1.349444846
794	1.349214411
795	1.349048096
796	1.349034735
797	1.34874842
798	1.348537232
799	1.348132928
800	1.348048178
801	1.34803696
802	1.347781112
803	1.34776555
804	1.347467562
805	1.347453986
806	1.34717557
807	1.346920156
808	1.346431087
809	1.346167497
810	1.34616493
811	1.346103247
812	1.346083374
813	1.345657336
814	1.345440495
815	1.345421401
816	1.345409966
817	1.345347406
818	1.345294576
819	1.344927176
820	1.344376183
821	1.344365835
822	1.344102869
823	1.343746907
824	1.343449926
825	1.343385969
826	1.343376837
827	1.342825565
828	1.342752936
829	1.342407949
830	1.342228646
831	1.342122832
832	1.342021771
833	1.341813367
834	1.341717816
835	1.341462231
836	1.341415818
837	1.34127568
838	1.341092527
839	1.340766581
840	1.340713099
841	1.340698905
842	1.340684271
843	1.340604035
844	1.340522402
845	1.340319203
846	1.34031083
847	1.33997641
848	1.339974308
849	1.339900043
850	1.339550748
851	1.339487633
852	1.339266194
853	1.339237353
854	1.339166997
855	1.339081853
856	1.338910651
857	1.338853404
858	1.338672095
859	1.338513491
860	1.338324182
861	1.338214204
862	1.338141956
863	1.338120247
864	1.338044731
865	1.337913898
866	1.337775936
867	1.33764219
868	1.337561443
869	1.337466831
870	1.337431178
871	1.337276179
872	1.337054012
873	1.336793359
874	1.336517851
875	1.33626992
876	1.336212248
877	1.335988055
878	1.335756353
879	1.335639238
880	1.335474132
881	1.335353818
882	1.335014612
883	1.335005559
884	1.334785495
885	1.334616814
886	1.334550988
887	1.334514767
888	1.334495449
889	1.334279062
890	1.334181906
891	1.33409682
892	1.33383537
893	1.333717521
894	1.333678455
895	1.33338547
896	1.333379306
897	1.333362794
898	1.33327489
899	1.332873399
900	1.332629158
901	1.332419558
902	1.33234495
903	1.332260208
904	1.332129852
905	1.332094737
906	1.331676685
907	1.33160927
908	1.33116869
909	1.331003434
910	1.330973281
911	1.330899504
912	1.330790189
913	1.330774865
914	1.33041281
915	1.330307198
916	1.330164708
917	1.330087417
918	1.329854123
919	1.329705819
920	1.329513568
921	1.329351242
922	1.329269616
923	1.329225349
924	1.329144616
925	1.32904658
926	1.328970856
927	1.328732623
928	1.328595536
929	1.328369175
930	1.328052551
931	1.327987006
932	1.327943774
933	1.327500018
934	1.32730869
935	1.327252182
936	1.327204185
937	1.326819276
938	1.326623521
939	1.326367314
940	1.326301584
941	1.325999624
942	1.325938092
943	1.325727045
944	1.325635803
945	1.325624395
946	1.325576992
947	1.325265155
948	1.325225345
949	1.325160739
950	1.325120839
951	1.324740106
952	1.324564542
953	1.324316541
954	1.324311072
955	1.32415886
956	1.324118536
957	1.324098613
958	1.324028584
959	1.323893882
960	1.323756639
961	1.323708018
962	1.323650697
963	1.323309612
964	1.323274465
965	1.323109713
966	1.323081924
967	1.322948825
968	1.32285993
969	1.322791994
970	1.322779144
971	1.322603769
972	1.322588621
973	1.322501682
974	1.322256954
975	1.322170935
976	1.322144719
977	1.322138742
978	1.322075887
979	1.321691133
980	1.321353923
981	1.321250057
982	1.321136658
983	1.320712427
984	1.32068667
985	1.320489223
986	1.320188907
987	1.319845735
988	1.319486389
989	1.319450181
990	1.319213504
991	1.319081232
992	1.318826029
993	1.318604794
994	1.318524177
995	1.318487676
996	1.318389506
997	1.318193912
998	1.318137823
999	1.318110148
